ID,TYPE,TITLE,DESCIPIRATION
1,S,மீசையுடன் இருக்கும் பெருமாள் யார் தெரியுமா,திருவல்லிக்கேணி பார்த்தசாரதி பெருமாள் கோவிலின் அதிசய வரலாறு
2,S,கோபுரத்தை முதலில் வணங்குவதன் பின்னால் இருக்கும் காரணம்,கோயில் மரபின் மறைக்கப்பட்ட உண்மை
3,S,முருகனின் 7வது படை வீடு என்று அழைக்கப்படும் மருதமலை
அதற்குப் பின்னால் இருக்கும் வரலாறு என்னகோயம்புத்தூரின் மேற்குத் தொடர்ச்சி மலையில் அமைந்துள்ள அருள்மிகு மருதமலை முருகன் கோவில் ஏன் முருகனின் 7வது படை வீடு என்று அழைக்கப்படுகிறது தெரியுமா
4,S,மயிலாப்பூர் கபாலீசுவரர் கோவிலின் அறியப்படாத ரகசியங்கள்,மயிலாப்பூர் கபாலீசுவரர் கோவிலின் அறியப்படாத ரகசியங்கள்
5,S,பண்ணாரி மாரியம்மன் கோவில் ஏன் இவ்வளவு புகழ்பெற்றது,பண்ணாரி மாரியம்மன் கோவில் ஏன் இவ்வளவு புகழ்பெற்றது
6,S,128 பேர் தூக்கும் கருடாழ்வார் அதிசயம்,நாச்சியார் கோவிலின் வியக்க வைக்கும் ரகசியம்
7,S,திருவண்ணாமலையின் இடுக்கு பிள்ளையார் யார்,திருவண்ணாமலையின் இடுக்கு பிள்ளையார் யார்
8,S,பாண்டி முனீஸ்வரர் ஏன் சக்திவாய்ந்த காவல் தெய்வம்,பாண்டி முனீஸ்வரர் ஏன் சக்திவாய்ந்த காவல் தெய்வம்
9,S,திருப்புல்லாணி ஆதிஜெகந்நாத பெருமாள் கோவிலின் அற்புத வரலாறு,திருப்புல்லாணி ஆதிஜெகந்நாத பெருமாள் கோவிலின் அற்புத வரலாறு
10,S,உறையூர் வெக்காளி அம்மன் கோவிலின் அதிசய ரகசியம்,தமிழகத்தின் மிகவும் வித்தியாசமான அம்மன் கோவில்
